entrez_id	symbol_id	dependency_column	qc_pass
222	ALDH3B2	ALDH3B2 (222)	False
8659	ALDH4A1	ALDH4A1 (8659)	False
7915	ALDH5A1	ALDH5A1 (7915)	False
4329	ALDH6A1	ALDH6A1 (4329)	False
501	ALDH7A1	ALDH7A1 (501)	False
64577	ALDH8A1	ALDH8A1 (64577)	False
223	ALDH9A1	ALDH9A1 (223)	False
226	ALDOA	ALDOA (226)	True
229	ALDOB	ALDOB (229)	False
230	ALDOC	ALDOC (230)	True
56052	ALG1	ALG1 (56052)	True
84920	ALG10	ALG10 (84920)	False
144245	ALG10B	ALG10B (144245)	False
440138	ALG11	ALG11 (440138)	True
79087	ALG12	ALG12 (79087)	True
79868	ALG13	ALG13 (79868)	False
199857	ALG14	ALG14 (199857)	False
85365	ALG2	ALG2 (85365)	True
10195	ALG3	ALG3 (10195)	True
29880	ALG5	ALG5 (29880)	True
29929	ALG6	ALG6 (29929)	True
79053	ALG8	ALG8 (79053)	True
79796	ALG9	ALG9 (79796)	True
238	ALK	ALK (238)	False
389658	ALKAL1	ALKAL1 (389658)	False
285016	ALKAL2	ALKAL2 (285016)	False
8846	ALKBH1	ALKBH1 (8846)	False
121642	ALKBH2	ALKBH2 (121642)	False
221120	ALKBH3	ALKBH3 (221120)	False
54784	ALKBH4	ALKBH4 (54784)	False
54890	ALKBH5	ALKBH5 (54890)	False
84964	ALKBH6	ALKBH6 (84964)	False
84266	ALKBH7	ALKBH7 (84266)	False
91801	ALKBH8	ALKBH8 (91801)	True
55821	ALLC	ALLC (55821)	False
7840	ALMS1	ALMS1 (7840)	False
239	ALOX12	ALOX12 (239)	False
242	ALOX12B	ALOX12B (242)	False
246	ALOX15	ALOX15 (246)	False
247	ALOX15B	ALOX15B (247)	False
240	ALOX5	ALOX5 (240)	False
241	ALOX5AP	ALOX5AP (241)	False
59344	ALOXE3	ALOXE3 (59344)	False
251	ALPG	ALPG (251)	False
248	ALPI	ALPI (248)	False
80216	ALPK1	ALPK1 (80216)	False
115701	ALPK2	ALPK2 (115701)	False
57538	ALPK3	ALPK3 (57538)	False
249	ALPL	ALPL (249)	False
250	ALPP	ALPP (250)	False
57679	ALS2	ALS2 (57679)	False
259173	ALS2CL	ALS2CL (259173)	False
8092	ALX1	ALX1 (8092)	False
257	ALX3	ALX3 (257)	False
60529	ALX4	ALX4 (60529)	False
10189	ALYREF	ALYREF (10189)	True
23600	AMACR	AMACR (23600)	False
258	AMBN	AMBN (258)	False
259	AMBP	AMBP (259)	False
55626	AMBRA1	AMBRA1 (55626)	True
262	AMD1	AMD1 (262)	True
144193	AMDHD1	AMDHD1 (144193)	False
51005	AMDHD2	AMDHD2 (51005)	False
265	AMELX	AMELX (265)	False
266	AMELY	AMELY (266)	False
139285	AMER1	AMER1 (139285)	False
219287	AMER2	AMER2 (219287)	False
205147	AMER3	AMER3 (205147)	False
267	AMFR	AMFR (267)	True
268	AMH	AMH (268)	False
269	AMHR2	AMHR2 (269)	False
57463	AMIGO1	AMIGO1 (57463)	False
347902	AMIGO2	AMIGO2 (347902)	False
386724	AMIGO3	AMIGO3 (386724)	False
9949	AMMECR1	AMMECR1 (9949)	False
83607	AMMECR1L	AMMECR1L (83607)	False
81693	AMN	AMN (81693)	False
196394	AMN1	AMN1 (196394)	False
154796	AMOT	AMOT (154796)	False
154810	AMOTL1	AMOTL1 (154810)	False
51421	AMOTL2	AMOTL2 (51421)	True
270	AMPD1	AMPD1 (270)	False
271	AMPD2	AMPD2 (271)	False
272	AMPD3	AMPD3 (272)	False
273	AMPH	AMPH (273)	False
275	AMT	AMT (275)	False
401138	AMTN	AMTN (401138)	False
279	AMY2A	AMY2A (279)	True
155185	AMZ1	AMZ1 (155185)	False
51321	AMZ2	AMZ2 (51321)	False
64682	ANAPC1	ANAPC1 (64682)	True
10393	ANAPC10	ANAPC10 (10393)	False
51529	ANAPC11	ANAPC11 (51529)	True
25847	ANAPC13	ANAPC13 (25847)	True
25906	ANAPC15	ANAPC15 (25906)	True
119504	ANAPC16	ANAPC16 (119504)	False
29882	ANAPC2	ANAPC2 (29882)	True
29945	ANAPC4	ANAPC4 (29945)	True
51433	ANAPC5	ANAPC5 (51433)	True
51434	ANAPC7	ANAPC7 (51434)	False
283	ANG	ANG (283)	False
23357	ANGEL1	ANGEL1 (23357)	False
90806	ANGEL2	ANGEL2 (90806)	False
284	ANGPT1	ANGPT1 (284)	False
285	ANGPT2	ANGPT2 (285)	False
51378	ANGPT4	ANGPT4 (51378)	False
9068	ANGPTL1	ANGPTL1 (9068)	False
23452	ANGPTL2	ANGPTL2 (23452)	False
27329	ANGPTL3	ANGPTL3 (27329)	False
51129	ANGPTL4	ANGPTL4 (51129)	False
253935	ANGPTL5	ANGPTL5 (253935)	False
