ModelID,0,1,2,3,4,5,6,7,8,9
ACH-001128,-0.6008173,-0.2918264,-0.08059288,0.36922875,-0.012633622,0.83032346,0.59952956,0.81954634,-0.07205711,0.76823974
ACH-000085,-0.25273445,0.3748814,-0.91212857,0.4455244,-0.46140596,0.078254946,1.0503908,-2.1331747,-0.54331595,-0.5904138
ACH-000548,-0.5051952,1.4111209,-0.7660754,0.8069725,-0.21911854,-0.05299878,1.4907079,0.05810958,0.42596096,-0.49837667
ACH-000076,0.56599045,-1.1721207,1.7533243,1.9727156,-0.011438966,1.4996175,1.0933399,0.26483497,-1.542047,0.3738459
ACH-001694,0.09323487,1.5440593,0.5012767,-0.81523037,-0.9967704,0.56077,1.6490674,-0.6528085,0.48705882,-0.6625904
ACH-000552,0.59549606,1.5425253,1.2502713,0.80695045,1.6960373,0.5179715,-2.9669852,-0.07497415,-0.6423504,-0.61985147
ACH-000881,-0.015341967,-0.012927502,0.9050294,1.2854285,1.0920871,1.2800946,-0.9267534,-0.3178237,-0.30144238,1.5554775
ACH-000376,-1.6883185,0.7850152,2.356313,-0.91312337,1.4460164,0.092802346,-0.6431444,-0.5792665,1.2164057,-0.9009305
ACH-000048,0.17744738,-0.12021044,1.9048084,-1.2165864,0.7604319,0.15327606,-2.2820091,0.27131826,1.3673205,-0.13687283
ACH-001402,-0.9500833,-0.9721672,1.911025,-0.48153436,-1.0417596,-1.0188687,-0.041295722,0.04040949,-1.751289,-1.3824432
ACH-000454,-1.5625641,-0.009978183,0.8300491,-0.10240974,-0.9998146,0.7769241,-0.07503745,-0.67685634,-0.15339404,-0.50403273
ACH-001336,-0.036852214,2.1216698,0.46461332,-0.7415985,-0.41385746,-0.19449466,1.7107671,-1.4309185,0.5472963,0.124733746
ACH-001239,-1.5459127,-0.21099217,1.7612481,-0.14797537,0.73869485,0.3117367,0.96125114,0.5149333,-0.11407387,0.84100115
ACH-000993,0.67353773,-0.3380333,-0.42874196,-0.28477868,0.8781004,1.5171729,-0.36807454,0.24018422,-0.43684676,1.8070557
ACH-000863,-0.594944,0.1715693,-0.4085072,0.68608356,-1.2867166,-0.5647593,-0.6400105,0.7365377,-0.8483038,2.3998396
ACH-000405,-0.08565724,-0.80819124,1.4124306,2.1072676,-0.32591283,1.3077524,2.3560982,0.12233555,0.24971983,0.13863544
ACH-001098,-0.403184,1.8508676,-0.3767375,1.5572393,0.13230413,-1.3487847,-0.73629034,-1.4116372,0.10714076,0.8063844
ACH-000324,-0.5412509,0.8929877,-0.23094222,-0.25692636,-0.23598105,0.09557176,0.7485862,0.70908684,0.526173,1.621666
ACH-000243,0.3697994,2.1299655,-0.12909693,0.74249965,1.656946,1.1331875,0.17382872,0.22658,0.8650241,-0.29315993
ACH-000318,-0.85477644,0.35597688,0.457804,-0.11900104,-1.0108176,1.2150207,-0.6723085,-0.6246543,-0.36335677,0.8055657
ACH-000777,-0.8412827,1.4285232,0.03580595,0.32107568,-0.37488896,0.08123847,0.2723092,-0.12566733,0.070664994,0.82551885
ACH-001442,-0.3502828,1.5369626,-0.30268472,-0.644179,0.90044636,-0.521141,0.45068026,-1.0390483,0.62176687,-1.273102
